,time,type,price
0,2017-06-19 09:13:37,CLOSE,2514.9
0,2017-06-19 09:22:39,SELL,2519.13
0,2017-06-19 09:26:44,CLOSE,2528.13
0,2017-06-19 09:27:54,SELL,2531.0
0,2017-06-19 09:29:51,CLOSE,2538.75
0,2017-06-19 09:29:53,SELL,2540.12
0,2017-06-19 09:30:15,CLOSE,2538.64
0,2017-06-19 09:34:13,BUY,2538.27
0,2017-06-19 09:34:18,CLOSE,2539.41
0,2017-06-19 09:37:22,SELL,2540.0
0,2017-06-19 09:37:27,CLOSE,2539.01
0,2017-06-19 09:37:29,BUY,2538.86
0,2017-06-19 09:37:54,CLOSE,2539.92
0,2017-06-19 09:38:29,BUY,2537.98
0,2017-06-19 09:42:37,CLOSE,2539.08
0,2017-06-19 09:45:07,BUY,2536.1
0,2017-06-19 09:45:55,CLOSE,2539.11
0,2017-06-19 09:47:30,BUY,2535.0
0,2017-06-19 09:57:19,CLOSE,2536.28
0,2017-06-19 09:57:20,SELL,2536.3
0,2017-06-19 09:59:14,CLOSE,2530.65
0,2017-06-19 09:59:15,BUY,2527.05
0,2017-06-19 10:04:37,CLOSE,2527.25
0,2017-06-19 10:05:23,SELL,2528.92
0,2017-06-19 10:11:32,CLOSE,2534.94
0,2017-06-19 10:13:46,BUY,2532.97
0,2017-06-19 10:15:58,CLOSE,2533.0
0,2017-06-19 10:16:21,BUY,2530.87
0,2017-06-19 10:20:08,CLOSE,2532.52
0,2017-06-19 10:21:52,SELL,2536.39
0,2017-06-19 10:45:10,CLOSE,2558.22
0,2017-06-19 10:47:47,BUY,2557.31
0,2017-06-19 10:48:17,CLOSE,2559.32
0,2017-06-19 10:55:42,SELL,2560.0
0,2017-06-19 11:04:01,CLOSE,2563.91
0,2017-06-19 11:04:02,BUY,2563.92
0,2017-06-19 11:04:03,CLOSE,2565.86
0,2017-06-19 11:06:42,SELL,2566.28
0,2017-06-19 11:07:00,CLOSE,2564.17
0,2017-06-19 11:07:11,BUY,2563.62
0,2017-06-19 11:07:59,CLOSE,2563.63
0,2017-06-19 11:08:42,BUY,2559.2
0,2017-06-19 11:13:06,CLOSE,2560.55
0,2017-06-19 11:16:40,BUY,2558.62
0,2017-06-19 11:21:21,CLOSE,2558.03
0,2017-06-19 11:24:19,SELL,2558.07
0,2017-06-19 11:24:23,CLOSE,2558.01
0,2017-06-19 11:24:25,SELL,2558.07
0,2017-06-19 11:28:55,CLOSE,2562.02
0,2017-06-19 11:30:09,SELL,2564.06
0,2017-06-19 11:31:25,CLOSE,2560.72
0,2017-06-19 11:32:03,BUY,2560.65
0,2017-06-19 11:32:23,CLOSE,2564.91
0,2017-06-19 11:35:44,SELL,2566.19
0,2017-06-19 11:36:53,CLOSE,2562.09
0,2017-06-19 11:39:06,BUY,2560.67
0,2017-06-19 11:42:51,CLOSE,2562.64
0,2017-06-19 11:42:56,SELL,2563.5
0,2017-06-19 11:44:10,CLOSE,2562.83
0,2017-06-19 11:47:31,SELL,2565.78
0,2017-06-19 11:48:14,CLOSE,2563.97
0,2017-06-19 11:51:29,BUY,2561.11
0,2017-06-19 11:54:48,CLOSE,2558.47
0,2017-06-19 11:57:17,SELL,2558.6
0,2017-06-19 11:58:19,CLOSE,2558.0
0,2017-06-19 11:59:44,BUY,2557.62
0,2017-06-19 12:02:34,CLOSE,2552.4
0,2017-06-19 12:03:06,SELL,2552.61
0,2017-06-19 12:03:39,CLOSE,2550.58
0,2017-06-19 12:03:51,SELL,2553.83
0,2017-06-19 12:06:16,CLOSE,2552.11
0,2017-06-19 12:06:22,BUY,2552.15
0,2017-06-19 12:07:52,CLOSE,2554.77
0,2017-06-19 12:10:00,BUY,2553.52
0,2017-06-19 12:10:07,CLOSE,2554.36
0,2017-06-19 12:12:04,BUY,2552.01
0,2017-06-19 12:13:41,CLOSE,2553.86
0,2017-06-19 12:15:35,BUY,2551.24
0,2017-06-19 12:17:51,CLOSE,2555.12
0,2017-06-19 12:17:52,SELL,2555.09
0,2017-06-19 12:20:46,CLOSE,2553.55
0,2017-06-19 12:26:25,BUY,2550.47
0,2017-06-19 12:28:58,CLOSE,2545.81
0,2017-06-19 12:32:23,SELL,2545.14
0,2017-06-19 12:38:38,CLOSE,2545.0
0,2017-06-19 12:39:39,BUY,2542.11
0,2017-06-19 12:42:49,CLOSE,2543.69
0,2017-06-19 12:42:51,SELL,2543.68
0,2017-06-19 12:45:19,CLOSE,2547.52
0,2017-06-19 12:46:30,BUY,2545.42
0,2017-06-19 12:52:05,CLOSE,2543.19
0,2017-06-19 12:52:50,BUY,2537.8
0,2017-06-19 12:58:50,CLOSE,2538.87
0,2017-06-19 13:03:55,SELL,2540.0
0,2017-06-19 13:09:32,CLOSE,2540.71
0,2017-06-19 13:09:36,BUY,2539.24
0,2017-06-19 13:11:00,CLOSE,2543.72
0,2017-06-19 13:11:04,SELL,2545.09
0,2017-06-19 13:14:13,CLOSE,2549.72
0,2017-06-19 13:14:14,BUY,2549.19
0,2017-06-19 13:15:08,CLOSE,2553.6
0,2017-06-19 13:17:14,SELL,2556.51
0,2017-06-19 13:20:59,CLOSE,2554.95
0,2017-06-19 13:22:00,BUY,2554.95
0,2017-06-19 13:28:23,CLOSE,2553.46
0,2017-06-19 13:28:24,SELL,2553.67
0,2017-06-19 13:49:40,CLOSE,2560.57
0,2017-06-19 13:54:55,SELL,2566.53
0,2017-06-19 13:58:00,CLOSE,2566.02
0,2017-06-19 14:01:53,BUY,2567.0
0,2017-06-19 14:07:40,CLOSE,2567.73
0,2017-06-19 14:07:53,SELL,2568.0
0,2017-06-19 14:13:10,CLOSE,2573.4
0,2017-06-19 14:16:30,SELL,2575.0
0,2017-06-19 14:20:21,CLOSE,2577.37
0,2017-06-19 14:24:30,BUY,2578.03
0,2017-06-19 14:32:27,CLOSE,2579.84
0,2017-06-19 14:36:10,SELL,2582.32
0,2017-06-19 14:44:53,CLOSE,2585.34
0,2017-06-19 14:45:41,BUY,2585.0
0,2017-06-19 14:46:21,CLOSE,2586.0
0,2017-06-19 14:47:39,SELL,2591.02
0,2017-06-19 14:52:02,CLOSE,2583.62
0,2017-06-19 14:58:02,SELL,2586.0
0,2017-06-19 15:03:32,CLOSE,2588.46
0,2017-06-19 15:03:43,BUY,2588.48
0,2017-06-19 15:04:47,CLOSE,2590.0
0,2017-06-19 15:14:06,BUY,2586.46
0,2017-06-19 15:21:34,CLOSE,2579.99
0,2017-06-19 15:30:08,BUY,2578.55
0,2017-06-19 15:32:41,CLOSE,2579.0
0,2017-06-19 15:35:21,BUY,2575.0
0,2017-06-19 15:36:00,CLOSE,2577.95
0,2017-06-19 15:37:00,BUY,2573.53
0,2017-06-19 15:42:16,CLOSE,2577.41
0,2017-06-19 15:43:46,SELL,2580.0
0,2017-06-19 15:45:05,CLOSE,2578.3
0,2017-06-19 15:45:21,BUY,2576.32
0,2017-06-19 15:46:43,CLOSE,2578.76
0,2017-06-19 15:46:56,SELL,2579.48
0,2017-06-19 15:47:40,CLOSE,2579.17
0,2017-06-19 16:06:10,SELL,2579.99
0,2017-06-19 16:11:43,CLOSE,2572.04
0,2017-06-19 16:13:58,BUY,2572.14
0,2017-06-19 16:27:53,CLOSE,2559.14
0,2017-06-19 16:29:31,BUY,2557.79
0,2017-06-19 16:36:35,CLOSE,2557.9
0,2017-06-19 16:36:38,SELL,2557.76
0,2017-06-19 16:36:50,CLOSE,2549.56
0,2017-06-19 16:40:24,SELL,2553.76
0,2017-06-19 16:40:28,CLOSE,2548.06
0,2017-06-19 16:45:09,SELL,2553.7
0,2017-06-19 16:49:24,CLOSE,2557.73
0,2017-06-19 16:50:29,SELL,2564.93
0,2017-06-19 16:52:57,CLOSE,2564.1
0,2017-06-19 16:53:06,BUY,2563.63
0,2017-06-19 16:56:18,CLOSE,2555.34
0,2017-06-19 16:57:05,BUY,2550.0
0,2017-06-19 17:02:05,CLOSE,2555.13
0,2017-06-19 17:02:23,SELL,2555.17
0,2017-06-19 17:08:31,CLOSE,2559.22
0,2017-06-19 17:08:44,BUY,2559.66
0,2017-06-19 17:15:24,CLOSE,2560.79
